Index,Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),whether he/she donated blood in March 2007
211,211,4,1,250,4,0
214,214,4,1,250,4,0
215,215,4,1,250,4,1
216,216,4,1,250,4,0
219,219,4,1,250,4,0
220,220,4,1,250,4,0
221,221,4,1,250,4,1
223,223,4,1,250,4,0
225,225,4,1,250,4,1
226,226,4,1,250,4,0
227,227,4,3,750,24,0
228,228,4,1,250,4,0
229,229,4,1,250,4,0
230,230,4,1,250,4,0
234,234,14,7,1750,26,0
235,235,8,10,2500,63,0
237,237,4,2,500,14,0
238,238,2,4,1000,43,0
239,239,8,9,2250,58,0
240,240,8,8,2000,52,1
242,242,4,3,750,25,1
243,243,11,17,4250,79,1
244,244,9,2,500,11,0
245,245,4,5,1250,46,0
248,248,11,2,500,11,0
249,249,11,2,500,11,0
250,250,11,2,500,11,0
251,251,2,6,1500,75,0
254,254,12,13,3250,59,0
256,256,16,8,2000,28,0
257,257,11,7,1750,37,0
258,258,4,3,750,28,0
259,259,12,12,3000,58,0
260,260,4,4,1000,41,0
262,262,2,2,500,23,0
263,263,2,3,750,38,1
265,265,4,4,1000,43,1
267,267,11,8,2000,46,0
268,268,4,7,1750,82,0
272,272,7,2,500,16,0
274,274,4,5,1250,58,0
275,275,4,4,1000,46,0
276,276,14,13,3250,57,0
277,277,4,3,750,34,0
280,280,14,16,4000,70,0
284,284,11,5,1250,33,0
286,286,4,2,500,23,0
287,287,9,2,500,16,1
290,290,14,4,1000,23,1
292,292,11,4,1000,28,0
293,293,11,5,1250,35,0
295,295,2,4,1000,70,0
296,296,14,5,1250,28,0
297,297,14,2,500,14,0
299,299,14,2,500,14,0
300,300,14,2,500,14,0
301,301,14,2,500,14,0
302,302,14,2,500,14,0
303,303,2,3,750,52,0
304,304,14,6,1500,34,0
305,305,11,5,1250,37,1
308,308,16,4,1000,23,0
309,309,16,3,750,19,0
310,310,11,5,1250,38,0
311,311,11,2,500,16,0
312,312,12,9,2250,60,0
313,313,9,1,250,9,0
315,315,4,2,500,29,0
316,316,11,2,500,17,0
317,317,14,4,1000,26,0
318,318,11,9,2250,72,1
319,319,11,5,1250,41,0
320,320,15,16,4000,82,0
321,321,9,5,1250,51,1
322,322,11,4,1000,34,0
323,323,14,8,2000,50,1
324,324,16,7,1750,38,0
326,326,2,2,500,41,0
328,328,14,4,1000,28,1
329,329,16,7,1750,39,0
330,330,14,7,1750,47,0
331,331,16,6,1500,35,0
332,332,16,6,1500,35,1
333,333,11,7,1750,62,1
334,334,16,2,500,16,0
336,336,11,3,750,28,0
338,338,11,1,250,11,1
339,339,9,3,750,34,0
342,342,11,6,1500,58,0
343,343,11,1,250,11,0
346,346,11,1,250,11,0
347,347,11,1,250,11,0
348,348,11,1,250,11,0
350,350,11,1,250,11,0
351,351,11,2,500,21,0
353,353,11,2,500,21,0
354,354,16,4,1000,28,0
356,356,16,6,1500,40,0
357,357,14,3,750,26,0
359,359,21,16,4000,64,0
360,360,14,6,1500,51,0
361,361,11,2,500,24,0
362,362,4,3,750,71,0
364,364,11,6,1500,71,0
365,365,14,2,500,21,1
367,367,14,4,1000,38,0
369,369,16,5,1250,40,1
370,370,4,2,500,51,1
371,371,14,3,750,31,0
372,372,4,2,500,52,0
373,373,9,4,1000,65,0
374,374,14,4,1000,40,0
375,375,11,3,750,40,1
378,378,14,1,250,14,0
379,379,14,1,250,14,0
380,380,14,1,250,14,0
381,381,14,1,250,14,0
382,382,14,1,250,14,0
383,383,14,1,250,14,0
387,387,14,1,250,14,0
388,388,9,3,750,52,0
391,391,11,4,1000,59,0
392,392,4,2,500,59,0
393,393,11,4,1000,61,0
394,394,16,4,1000,40,0
395,395,16,10,2500,89,0
397,397,21,3,750,26,0
399,399,21,3,750,26,1
404,404,14,5,1250,64,0
407,407,16,1,250,16,0
408,408,16,1,250,16,0
410,410,16,1,250,16,0
411,411,16,1,250,16,0
412,412,16,1,250,16,0
414,414,16,1,250,16,0
415,415,16,1,250,16,0
417,417,16,1,250,16,0
418,418,16,1,250,16,0
419,419,16,2,500,26,0
420,420,21,2,500,23,0
421,421,16,2,500,27,0
423,423,21,2,500,23,0
429,429,16,3,750,40,0
430,430,9,2,500,52,0
432,432,16,7,1750,87,1
433,433,14,4,1000,64,0
435,435,16,7,1750,93,0
438,438,23,14,3500,93,0
439,439,18,8,2000,95,0
440,440,16,3,750,46,0
441,441,11,3,750,76,0
443,443,11,3,750,76,0
445,445,21,3,750,35,0
446,446,23,2,500,26,0
449,449,16,3,750,50,0
450,450,23,3,750,33,0
452,452,23,2,500,28,0
453,453,21,1,250,21,0
455,455,21,1,250,21,0
456,456,21,1,250,21,0
457,457,21,1,250,21,0
458,458,21,1,250,21,0
459,459,21,1,250,21,0
460,460,21,1,250,21,0
461,461,21,1,250,21,0
462,462,21,1,250,21,1
464,464,21,1,250,21,0
465,465,21,5,1250,60,0
467,467,21,4,1000,52,0
469,469,11,2,500,70,0
471,471,23,3,750,40,0
472,472,23,3,750,41,0
473,473,14,3,750,83,0
474,474,21,2,500,35,0
475,475,26,5,1250,49,1
476,476,23,6,1500,70,0
483,483,23,1,250,23,0
485,485,23,4,1000,53,0
486,486,21,6,1500,86,0
487,487,23,3,750,48,0
488,488,21,2,500,41,0
489,489,21,3,750,64,0
490,490,16,2,500,70,0
491,491,21,3,750,70,0
495,495,35,3,750,64,0
496,496,38,1,250,38,0
498,498,40,1,250,40,0
499,499,74,1,250,74,0
500,500,2,43,10750,86,1
501,501,6,22,5500,28,1
504,504,0,26,6500,76,1
505,505,2,41,10250,98,1
506,506,3,21,5250,42,1
508,508,2,21,5250,52,1
509,509,2,13,3250,32,1
510,510,4,4,1000,4,1
511,511,2,11,2750,26,0
512,512,2,11,2750,28,0
514,514,4,16,4000,38,1
517,517,4,33,8250,98,1
518,518,3,10,2500,33,1
520,520,2,11,2750,40,1
521,521,2,11,2750,41,1
522,522,4,13,3250,39,1
525,525,2,4,1000,11,0
527,527,2,15,3750,64,0
528,528,5,24,6000,79,0
529,529,2,6,1500,22,1
530,530,4,5,1250,16,1
531,531,2,4,1000,14,1
533,533,2,4,1000,14,0
534,534,2,6,1500,26,0
535,535,4,5,1250,16,1
536,536,2,7,1750,32,1
537,537,2,6,1500,26,1
539,539,2,2,500,4,1
545,545,4,2,500,4,1
549,549,4,7,1750,32,1
550,550,4,4,1000,16,0
552,552,4,6,1500,28,1
555,555,4,4,1000,18,0
557,557,4,6,1500,30,0
558,558,14,5,1250,14,0
559,559,3,8,2000,50,0
560,560,4,11,2750,64,1
564,564,4,14,3500,86,0
565,565,2,9,2250,75,0
568,568,4,6,1500,35,1
569,569,2,6,1500,45,0
570,570,2,6,1500,47,0
571,571,4,2,500,9,0
572,572,2,2,500,11,1
573,573,2,2,500,11,0
574,574,2,2,500,11,1
575,575,4,6,1500,38,1
576,576,3,4,1000,29,1
578,578,11,5,1250,18,0
579,579,2,3,750,21,0
580,580,2,1,250,2,0
581,581,2,1,250,2,1
582,582,2,1,250,2,0
583,583,2,1,250,2,0
584,584,2,1,250,2,0
586,586,2,1,250,2,1
588,588,2,1,250,2,0
590,590,2,1,250,2,0
591,591,11,11,2750,38,0
592,592,2,3,750,22,0
593,593,9,11,2750,49,1
594,594,5,11,2750,75,0
595,595,3,5,1250,38,0
596,596,3,1,250,3,1
597,597,4,6,1500,43,0
599,599,12,11,2750,39,0
601,601,4,6,1500,46,0
603,603,14,8,2000,26,0
604,604,4,2,500,13,0
605,605,4,11,2750,95,0
607,607,2,7,1750,77,0
609,609,4,1,250,4,0
610,610,4,1,250,4,0
611,611,4,1,250,4,0
612,612,4,1,250,4,1
613,613,4,1,250,4,0
615,615,4,1,250,4,0
616,616,4,1,250,4,0
617,617,4,1,250,4,0
618,618,4,1,250,4,1
620,620,4,7,1750,62,0
621,621,4,1,250,4,0
623,623,11,6,1500,28,0
625,625,7,5,1250,35,0
627,627,11,2,500,11,0
628,628,2,5,1250,63,0
629,629,7,11,2750,89,0
633,633,12,15,3750,71,0
637,637,14,7,1750,35,0
638,638,11,4,1000,27,0
640,640,11,8,2000,52,1
641,641,7,5,1250,52,0
643,643,10,5,1250,38,0
644,644,14,2,500,14,1
646,646,14,2,500,14,0
647,647,2,2,500,33,0
648,648,11,3,750,23,0
649,649,14,8,2000,46,0
650,650,9,1,250,9,0
652,652,14,4,1000,26,0
653,653,4,2,500,30,0
654,654,14,3,750,21,0
655,655,16,16,4000,77,0
656,656,4,2,500,31,0
658,658,11,3,750,26,0
660,660,15,5,1250,33,0
661,661,16,2,500,16,0
663,663,11,8,2000,72,0
664,664,11,1,250,11,0
665,665,11,1,250,11,0
666,666,11,1,250,11,0
667,667,11,1,250,11,1
668,668,11,1,250,11,0
670,670,2,3,750,77,0
674,674,16,10,2500,62,0
675,675,16,3,750,23,0
676,676,14,3,750,26,0
677,677,23,19,4750,62,0
679,679,14,3,750,28,0
681,681,4,2,500,46,0
682,682,11,2,500,25,0
683,683,11,3,750,37,0
684,684,16,4,1000,33,0
685,685,21,7,1750,38,0
688,688,14,3,750,33,0
689,689,14,1,250,14,0
692,692,14,1,250,14,0
693,693,14,1,250,14,0
694,694,14,1,250,14,0
695,695,17,7,1750,58,1
696,696,14,3,750,35,0
697,697,14,3,750,35,0
698,698,16,7,1750,64,0
699,699,21,2,500,21,0
700,700,16,3,750,35,0
702,702,16,1,250,16,0
703,703,16,1,250,16,0
704,704,16,1,250,16,0
705,705,16,1,250,16,0
707,707,11,4,1000,74,0
708,708,11,2,500,38,1
709,709,21,6,1500,48,0
711,711,23,6,1500,45,0
712,712,14,2,500,35,1
713,713,16,6,1500,81,0
715,715,16,5,1250,71,0
717,717,21,3,750,35,0
720,720,21,3,750,38,0
721,721,23,3,750,35,0
722,722,21,3,750,40,0
723,723,23,2,500,28,0
726,726,25,6,1500,50,0
728,728,21,1,250,21,0
729,729,23,3,750,39,0
730,730,21,2,500,33,0
731,731,14,3,750,79,0
732,732,23,1,250,23,1
733,733,23,1,250,23,0
734,734,23,1,250,23,0
735,735,23,1,250,23,0
737,737,23,1,250,23,0
738,738,23,1,250,23,0
739,739,23,4,1000,52,0
740,740,23,1,250,23,0
741,741,23,7,1750,88,0
742,742,16,3,750,86,0
743,743,23,2,500,38,0
744,744,21,2,500,52,0
745,745,23,3,750,62,0
746,746,39,1,250,39,0
747,747,72,1,250,72,0
